date,Gross Domestic Product (CVM), Private final consumption expenditure,General government final consumption expenditure,Gross fixed capital formation,Change in inventories,Exports of goods and services,Exports of goods,Exports of services,Imports of goods and services,Imports of goods,Imports of services,Agriculture,"Agriculture, Forestry and Fishing",Non-Agriculture,Industrial,Mining and Quarrying,Manufacturing,"Electricity, Gas, Steam and Air-Conditioning Supply","Water supply; sewerage, waste management and remediation activities",Services,Construction,"Wholesale and Retail Trade, Repair of Vehicles and Personal and Household Goods","Transport, and storage",Accommodation and food service activities,Information and communication,Financial and insurance activities,Real Estate Activities,"Professional, scientific and technical activities",Administrative and support service activities,Public Administration and Defence; Compulsory Social Security,Education,Health and Social Work,"Arts, entertainment and recreation",Other Service Activities,Private Household with Employed Persons
1995-12-31,1314936,701771,134606,645499,-1800,630032,528608,108054,824495,689819,147573,139218,139218,1177695,390034,23656,334763,25607,4728,786684,92984,240806,66835,47442,17771,125799,29542,15782,13884,56106,44366,20287,5441,21672,4507
1996-03-31,1313862,688596,147928,647974,-1877,547339,419737,125730,685463,560419,132612,105456,105456,1210436,416455,26414,358835,25494,4745,793185,104534,231686,67248,45745,17755,120601,29373,15826,13771,62476,43785,22377,6165,22413,4578
1996-06-30,1336374,733769,150738,651023,35033,521708,408277,113205,702352,564046,143629,97248,97248,1242518,410848,27509,349943,27507,5254,830610,100572,253653,74052,46414,18169,127772,29824,19157,16328,58941,44503,23193,6918,23477,4681
1996-09-30,1323012,731154,168628,688959,24259,528852,420928,109037,683442,558884,132132,87794,87794,1239700,414346,30275,352239,26833,5126,824362,98993,241535,75384,43976,18912,131519,33266,16890,15845,61382,45983,23165,6411,22385,4618
1996-12-31,1382117,741299,158534,724143,-9680,576043,459712,117776,750106,619261,140557,142708,142708,1237338,411619,29497,350396,26161,5629,824701,98680,244960,75132,47786,18101,124375,33916,16129,15409,61566,47564,23323,6442,21514,4661
1997-03-31,1318993,712722,156280,556769,3198,550886,418853,130342,632958,507309,130602,112092,112092,1208105,435542,28769,374488,26428,5220,773044,69024,239232,79115,48571,16785,99554,33649,15479,14882,67211,45826,22506,6497,21004,4743
1997-06-30,1309139,748574,154225,549091,-417,552848,430066,122329,656583,525462,136107,96378,96378,1215953,423786,29312,358175,30232,5654,791968,75814,244572,77894,46330,18682,107061,34878,15980,14333,64151,47396,23953,6663,21283,4783
1997-09-30,1282881,707344,174222,574077,-22827,592939,477539,116997,647479,505943,144056,85723,85723,1201457,427262,33777,358728,29666,5792,774398,85170,231048,72966,42732,21440,88387,36794,17009,14896,65771,49023,23096,6240,22618,4578
1997-12-31,1296888,685356,158448,441205,2352,674053,530947,143397,639281,469069,166731,136929,136929,1157556,395005,28881,333250,27447,5499,761966,60865,233181,70542,44635,20640,94519,36775,19443,14500,66664,50685,23850,6092,23519,4568
1998-03-31,1244216,652155,152521,328991,-22812,650363,487298,163554,497855,361754,136189,109772,109772,1135229,402502,26883,339598,29368,6246,732875,52340,221144,74434,48167,18311,73883,38087,20658,12577,72001,50202,22835,6228,23130,4705
1998-06-30,1145060,641334,151098,267152,-12721,616795,490016,126542,500327,375262,125889,85927,85927,1061456,378641,26929,313800,31591,6087,683069,45462,211670,67262,44466,18256,63593,40858,14396,10494,68843,49431,23526,5463,18444,4844
1998-09-30,1155997,624145,191065,306096,-56456,652998,521603,131074,514532,382895,132294,82811,82811,1075948,379594,30449,315948,27725,5945,696398,55460,199987,71150,45052,21779,62863,43230,12722,10652,72581,52087,24039,5153,17238,4734
1998-12-31,1265055,645264,178120,285039,-6111,706405,566710,139286,559779,425163,135870,155566,155566,1105630,397103,28405,337026,26271,5348,708930,40715,207229,78860,48682,20237,54180,45821,13809,13128,74744,58160,25851,5332,18496,4725
1999-03-31,1259716,636855,156766,250204,15261,635633,474227,163601,455138,341963,113558,120347,120347,1138874,421103,27563,359530,28258,5345,717820,36324,225335,79360,48955,19830,50352,45674,16656,14532,76489,50165,24944,5901,19371,4690
1999-06-30,1206997,653410,172374,279217,-2411,643808,520954,121417,566845,429791,137183,97519,97519,1111727,409585,28908,345977,28894,5703,702207,45716,208241,76708,43932,20732,49343,47351,16540,13106,75804,51810,24419,5810,18493,4754
1999-09-30,1246015,675520,185489,310058,-42162,744195,607647,134395,587463,449309,137940,91056,91056,1158752,430342,32857,361795,30103,5972,728442,56098,202434,78949,46201,21716,53165,53579,17569,13014,76577,53384,25675,6019,19848,4654
1999-12-31,1317543,701321,182444,294498,17509,829754,676821,150595,699253,545860,152150,146102,146102,1167827,432922,31243,367831,28409,5664,734946,37306,210921,80686,51274,28077,52998,53929,16608,12935,76701,53960,26746,6215,21409,4737
2000-03-31,1346757,694197,167918,299121,24276,763617,625753,137309,657149,521021,135941,133741,133741,1213751,445946,31766,378216,30221,5787,767726,41051,226229,83970,52791,23381,67262,53341,20329,14710,78071,51776,25833,6261,19694,4731
2000-06-30,1279194,704469,169695,270462,22711,750434,622828,127283,688444,541508,146721,114235,114235,1165425,436699,31060,366426,32891,6252,728990,38564,217615,81558,47624,23938,52654,50885,19759,16270,75721,51296,24072,5896,18218,4787
2000-09-30,1276273,710859,198356,301282,-37693,881944,744337,137578,771311,597889,173141,98350,98350,1178105,434794,33025,363490,32275,6361,743313,47351,203998,82546,48973,24908,55311,50878,22867,17467,79294,53140,26518,6203,19508,4660
2000-12-31,1352158,745273,180336,298173,27616,909140,755644,153136,791102,621857,168995,139636,139636,1213357,444382,30525,374024,33124,6427,768842,30002,216552,85579,54202,31358,52083,51483,30991,18677,81103,55239,28339,6297,20757,4689
2001-03-31,1378078,737140,171876,292784,42765,819169,671394,147380,735581,580469,154752,127990,127990,1250717,454461,29919,382818,35061,6588,796227,38494,238340,88380,56160,28458,64869,50796,22721,18712,79757,51151,27128,6192,20976,4856
2001-06-30,1326723,750704,179345,289547,5014,811992,675412,136270,757968,597333,160295,110364,110364,1215832,448455,31934,373276,36555,6690,767388,35810,226019,86422,50377,30491,61426,49293,22747,20259,77144,51779,25724,5675,19626,4874
2001-09-30,1322686,755621,204636,314207,-31191,835620,693777,141513,733961,573537,160288,99980,99980,1221295,446915,33616,370937,35468,6941,774370,50911,206882,84825,51169,31541,57462,51343,23226,20769,83050,54487,28141,5875,19750,4741
2001-12-31,1407869,779641,179055,293951,17429,837680,680802,156426,723192,573629,149093,162601,162601,1248715,456696,31093,384233,34769,6560,792006,32623,217376,85105,56025,39834,61554,52779,22465,20124,84379,56123,30801,5953,21578,4748
2002-03-31,1441030,777828,190701,301351,22565,825701,659121,166957,728613,569194,159370,125750,125750,1315317,478930,33108,401391,37863,6558,836370,40790,240704,93829,56245,32853,69979,56526,22641,21013,87175,53157,29761,6048,21257,4565
2002-06-30,1411214,800589,182900,310082,12262,835356,687191,147817,777457,604089,173496,112263,112263,1298168,484486,33983,404564,39016,6871,813684,43072,226784,91771,50266,32795,67644,55933,23929,25764,84701,53661,27992,5447,19538,4385
2002-09-30,1414291,801739,204525,347713,-14775,901314,737216,163875,815329,640420,174659,105166,105166,1307789,490027,36960,409911,36454,6685,817766,49877,211085,92975,51815,32632,72441,58225,25191,24866,84576,53861,29290,6041,20851,4286
2002-12-31,1503042,831046,181867,305061,27986,936633,754136,182692,812867,630970,182067,158323,158323,1346801,508493,32976,429331,39440,6822,838319,32978,226984,94467,58524,43426,66554,59358,26208,24754,84157,54027,32093,6305,23692,4371
2003-03-31,1550742,842022,182701,325899,39243,915768,740833,174935,813292,638576,174716,138376,138376,1412366,540264,35959,457047,40474,6784,872102,39325,251519,97259,57215,35207,74790,61961,26421,25538,87181,53189,29125,5973,22609,4792
2003-06-30,1500109,849127,196266,339059,-2388,894119,773625,120494,823549,655571,167978,125057,125057,1375052,534897,36914,448628,42285,7070,840156,43165,239741,88596,44343,36214,72500,61164,27503,26540,86673,54505,27501,5976,20895,4840
2003-09-30,1511005,860498,220488,386250,-13820,966235,801224,165011,890206,708695,181510,114442,114442,1396563,522864,39250,439054,37500,7060,873700,52823,224079,91511,53083,36659,86362,63390,27377,29042,89522,56582,29535,7748,21175,4812
2003-12-31,1622511,895460,199488,372777,26510,1042475,856978,185497,955002,770447,184556,183583,183583,1438927,552266,37388,468299,39151,7428,886662,36337,234767,95951,60565,47514,74851,61233,28807,30335,86527,58485,32588,9261,24566,4874
2004-03-31,1651929,906020,197790,362769,32615,1047481,857318,190259,986365,784283,202068,141958,141958,1510324,584224,37400,497238,42189,7436,925942,42832,266648,100189,57010,42923,79371,65035,28330,29308,87979,56928,30912,9117,25065,4650
2004-06-30,1594896,925719,203926,391734,13214,1067902,899608,168203,1056310,850044,206360,114341,114341,1481898,569310,37532,478539,45133,8082,912527,46008,249926,97108,56047,45022,81038,64566,30075,30678,87447,59071,29316,7764,24013,4596
2004-09-30,1596306,919655,222259,433656,2544,1106761,937021,169612,1069090,850743,218339,109842,109842,1488011,562411,39924,472978,42162,7331,925759,54469,234110,98331,59264,45201,85878,66548,32409,33146,88897,58485,31241,8928,24132,4532
2004-12-31,1730192,951774,206100,461737,5815,1155155,963144,191986,1077312,859722,217609,189073,189073,1539707,588267,38619,499750,42076,7865,951455,42265,244773,107549,61147,54098,82056,67167,34646,34950,86447,59874,34561,10169,27461,4586
2005-03-31,1715539,938041,212930,425876,88369,1095677,912769,182828,1151406,937248,214726,132916,132916,1584426,609216,40075,514418,46850,7874,975153,49343,270594,103002,53809,50694,86527,68676,32028,32472,93020,60758,32654,10133,26769,4605
2005-06-30,1663994,963644,218730,450294,84556,1153576,979257,174530,1280530,1041503,239632,111957,111957,1555663,601332,40341,504083,48502,8277,954223,52732,251053,101229,56733,50174,84747,67573,33583,32317,91654,61556,30238,10263,25642,4690
2005-09-30,1672102,967791,246263,494883,-46135,1249563,1062880,186947,1216934,968131,248722,113017,113017,1562671,592130,47240,492555,43509,8169,970629,58344,237638,103419,60646,50354,92277,69064,36504,33520,93480,61794,32304,10910,25166,4605
2005-12-31,1796955,989257,218511,514438,61159,1218149,1005101,212802,1218412,958918,259098,196986,196986,1595471,614162,44463,519310,42497,7680,981242,43652,252562,108485,63895,61737,82827,69016,36025,35323,90422,60728,34504,11126,28914,4492
2006-03-31,1810063,987669,221189,453548,6174,1239074,1018925,221270,1192597,929389,264098,141043,141043,1671052,646076,46930,542912,47900,7829,1024785,50345,283824,109110,61681,60471,87436,74522,34889,34249,92930,60644,33378,11257,28481,4366
2006-06-30,1738304,991910,226177,475472,3362,1240044,1040497,199615,1259287,1002684,256988,115580,115580,1627641,629858,46700,524558,50178,7892,997580,53409,262998,104032,62825,59528,84115,73534,36191,34185,94074,63930,31302,9944,25869,4200
2006-09-30,1746759,987152,252712,497595,-27035,1357802,1155014,202064,1282804,1013604,269795,118530,118530,1632814,620430,48104,518514,45503,7296,1012547,58889,250047,106131,64970,60783,90394,74830,38926,33370,96808,64900,33440,10818,26168,4138
2006-12-31,1893689,1000081,216656,508144,28562,1388896,1164949,224045,1275858,996874,279868,201503,201503,1686259,656751,45757,559325,43839,7456,1029160,43862,265816,114645,68050,69147,82536,74758,37361,41334,95604,63340,35007,9924,29041,4167
2007-03-31,1928792,988243,241499,449685,-8739,1346387,1101522,245148,1209830,940100,270431,145576,145576,1786469,700896,47339,595064,50977,7503,1084706,50483,310209,117651,65388,65282,85862,75021,38393,35508,102999,65164,34552,9290,27880,4335
2007-06-30,1829463,1002877,244804,473933,1500,1344899,1137189,207803,1303226,1040075,263824,118794,118794,1717437,672294,49028,562587,52435,7725,1044400,55765,281037,110468,64145,63657,87039,75566,39367,33296,99992,65204,32590,8618,25824,4404
2007-09-30,1842192,1000655,277775,511527,-5470,1441466,1226199,215327,1331896,1060277,272314,116249,116249,1733402,662826,49728,554011,51234,6939,1070778,60809,269731,112898,65728,63519,96621,75433,43070,32978,106002,69179,35219,8764,25773,4443
2007-12-31,1979091,1022307,231046,533566,15764,1557835,1299419,258615,1376056,1071381,305465,207043,207043,1764373,691034,48140,589640,45138,7696,1072552,47580,275217,123830,72110,78417,85683,76983,42702,36089,99403,64447,36049,8974,29344,4439
2008-03-31,1992940,1025478,238755,484849,40751,1499498,1222805,276081,1402691,1101762,301509,150210,150210,1846293,732944,49346,623415,52228,7966,1111975,50911,316852,120395,72281,72751,87063,80050,39946,36615,102979,62842,35631,8885,28800,4145
2008-06-30,1893939,1041193,243026,491532,-9005,1511797,1295565,217114,1427534,1127440,301079,126685,126685,1774310,704646,53426,586802,55605,7957,1068328,53670,285002,113533,69822,71797,85529,76981,42898,33635,104253,65625,33684,8295,25520,4079
2008-09-30,1883585,1021680,296991,523214,36816,1617296,1393168,225243,1572173,1242770,330559,120433,120433,1771440,697687,54467,581120,53238,7466,1072753,57099,267393,113133,68313,71883,94548,76153,42021,34841,106854,67977,36036,8976,25814,4081
2008-12-31,1939874,1039467,265375,515102,70008,1418433,1176406,241919,1413734,1091384,321714,207568,207568,1721747,672138,49687,564509,49235,7928,1048978,41528,265258,112546,68187,79973,85458,75172,38595,33736,108197,69224,36447,9325,28496,4148
2009-03-31,1907673,1015709,270962,392921,-122258,1239626,995510,244351,974074,734647,239795,156627,156627,1750902,671060,50878,557513,53972,8100,1079925,48703,300731,110951,67061,73531,93616,74721,32312,31035,107472,64997,39476,8396,26421,4438
2009-06-30,1836030,1020305,284670,421238,-31200,1188219,997199,191269,1086125,833769,252757,125654,125654,1718197,672997,52258,553822,58365,8079,1044443,55995,266731,104889,64348,70632,98324,72822,35369,30494,106660,66030,36420,8045,23119,4494
2009-09-30,1874133,1014347,312769,486474,-75981,1399868,1190134,210037,1214051,954234,260251,120258,120258,1764397,681284,52931,563274,56638,7591,1082904,60014,257420,114057,65490,70991,106169,73102,35753,32007,113683,71753,40464,8696,24491,4505
2009-12-31,2039253,1040339,284299,495052,46016,1485185,1220740,264743,1333738,1065503,268700,200879,200879,1827609,716493,53426,603064,50707,8041,1110275,45753,281649,124103,77026,79328,94069,74643,41263,33207,110519,71063,41679,9358,27725,4523
2010-03-31,2139668,1050216,296598,458003,106715,1456951,1177722,280652,1359447,1087791,272315,155474,155474,1989813,813883,54282,689104,62680,8523,1173961,54311,327248,124329,76548,76407,103022,77208,37263,32599,112584,70442,42689,9733,26164,4452
2010-06-30,2000920,1084298,310383,485453,-29760,1471978,1289666,179987,1383166,1100360,283439,132524,132524,1877119,760285,56062,632722,62380,8885,1115249,62611,295883,113723,65196,74516,101815,74059,38801,32172,109094,69740,38718,9711,24409,4393
2010-09-30,1982245,1086662,337852,533280,-256,1537282,1318767,217147,1453316,1172741,281335,114802,114802,1880526,728222,58061,604057,56299,8146,1151922,62713,285745,120301,73031,76176,106513,77362,41783,33532,118016,74708,41757,10792,24603,4321
2010-12-31,2109563,1092518,310852,527235,30697,1602195,1342582,259390,1469847,1193934,276726,197855,197855,1905236,730390,55828,611584,53359,8277,1174724,48722,298444,130822,84708,85294,96106,79675,43425,36398,116366,73727,43363,11757,29142,4470
2011-03-31,2209743,1117656,310749,509143,50093,1691718,1393248,298735,1561612,1275600,287139,162689,162689,2051950,808257,56105,681668,61939,8602,1242993,53733,346459,132599,86670,81397,104506,79564,42161,35726,120331,73329,44711,11448,28910,4631
2011-06-30,2037494,1108314,324269,531302,-33073,1652943,1412592,239262,1575959,1286444,290638,140342,140342,1906483,739740,56025,614049,60628,8649,1166978,57900,289010,123624,81746,81798,105927,80087,44056,36617,115339,72104,40684,11265,26807,4669
2011-09-30,2029932,1106271,361458,549709,-22224,1804744,1536936,266761,1707466,1417428,291651,117546,117546,1932780,730216,54973,605713,61135,8231,1204362,60581,281550,123567,84532,85537,117624,79931,45023,37355,124690,77254,45019,12345,27211,4591
2011-12-31,2024390,1060564,305964,511398,73408,1496071,1235954,260251,1523311,1229926,294244,217909,217909,1776655,629470,53586,512635,54034,7888,1152139,46239,290520,117262,83348,89993,104351,79654,40366,33276,112979,73783,44108,12466,28741,4797
2012-03-31,2272805,1139943,319580,536019,104518,1666572,1362358,304381,1626913,1338139,289882,176570,176570,2096534,795778,56912,662251,68677,9210,1302411,54349,351948,134904,93500,87892,116452,80062,47483,39403,124420,76508,47303,12965,34055,5001
2012-06-30,2160308,1172520,349943,574984,34635,1684767,1426337,257792,1710921,1419326,292596,135797,135797,2043203,779841,59053,642889,68994,9378,1264596,62291,306682,131672,91331,89875,124381,81767,51949,41133,121224,75805,43865,13365,28674,4992
2012-09-30,2132192,1190371,388299,600105,-92166,1766714,1477396,288950,1672243,1398492,274578,122198,122198,2035240,746583,61176,611152,64072,8709,1292548,66591,298085,133305,92538,92575,135665,82536,50436,43952,126403,78972,45992,14919,28267,4674
2012-12-31,2337519,1212082,338031,615870,45696,1770759,1433747,337415,1716777,1424022,293763,221193,221193,2093878,796108,60590,664928,60376,8850,1299306,52575,313818,139002,106326,98248,122139,84074,51200,42044,120939,79741,47612,14970,34058,4449
2013-03-31,2395328,1202112,320399,591254,127365,1758521,1406132,353317,1764353,1478161,286816,180909,180909,2217418,836293,60941,695596,71402,9711,1383351,59458,375076,144259,104467,97416,135871,82356,49102,42857,120893,76009,47715,15438,34201,4796
2013-06-30,2219187,1200602,355283,595457,44300,1706548,1406395,300165,1759806,1470304,290239,137270,137270,2104084,789364,61384,648164,69340,10225,1317089,64821,306805,136690,101057,99373,139557,82820,52070,41633,123557,78817,46507,14814,31202,4529
2013-09-30,2185277,1190029,400228,581591,-86364,1800173,1458507,342211,1664572,1379454,286132,120973,120973,2095210,760463,59412,628948,61382,9353,1338672,64013,289219,140420,104234,100388,149749,82514,51191,43959,132352,84276,50247,15022,31442,4321
2013-12-31,2342295,1167157,341469,535139,97777,1796778,1435428,362326,1651177,1352643,299980,221213,221213,2095692,785376,61110,657031,55042,9473,1312726,46805,309305,145363,111163,106643,134993,84073,52273,40005,118662,77687,47207,15560,35592,4085
2014-03-31,2386444.034,1165317.487,330742,530624,31485,1761443,1413749,348189,1576019,1286025,290457,184691,184691,2201813.534,822274,58957,687488,67262,9876,1382248.283,54267,359991,146490,106068,99435,144584,83786,48019,41024,122033,79393,51476,14994,34046,4270
2014-06-30,2237767.97,1213047.507,360924,569054,-62698,1698217,1422832,276605,1595387,1306086,289848,142093,142093,2115814.474,792819,60291,649831,72021,11046,1325436.189,63329,299358,139538,100318,102320,150029,85083,51697,39313,123584,79916,47623,14413,31848,4275
2014-09-30,2208911.957,1217048.509,404292,597110,-45384,1744549,1434911,310560,1665192,1379449,286609,119166,119166,2123248.48,763785,58786,630384,65545,8482,1363847.253,62712,292918,144652,104101,104516,162439,84352,50360,42037,131505,84175,51459,15279,33444,4211
2014-12-31,2398964.039,1189866.497,361218,555727,13025,1882208,1478538,403800,1640909,1351107,290506,212513,212513,2169170.512,795486,60847,662896,60242,10423,1377238.275,49079,317973,153338,120886,118919,145051,85902,52351,41343,124883,80250,51443,16349,36067,4190
2015-03-31,2459674.65,1199213.249,337651,582945,14273,1799362,1396071,404973,1617563,1342453,275668,167102,167102,2306168.112,844674,59822,705352,70805,10580,1465301.584,65276,377140,155838,127728,109966,159374,85302,47567,42613,121473,77676,51786,15859,34971,4401
2015-06-30,2303095.354,1239423.962,364687,576655,-62060,1735991,1383813,353235,1602026,1311412,291283,130198,130198,2197900.919,794495,60708,647216,75914,11225,1407609.403,72815,315283,149566,124261,113746,163122,82654,51288,41249,125678,79480,47903,15489,33210,4417
2015-09-30,2285060.32,1242164.01,409984,584868,-77569,1813450,1429114,385693,1632676,1350013,283259,111868,111868,2206089.934,781321,60812,640886,68316,10668,1429867.473,69523,305382,148852,117991,117782,173571,83906,49518,43512,135618,85481,53099,16485,34160,4380
2015-12-31,2473595.676,1229099.779,381513,606397,13442,1826205,1406085,421994,1625496,1330890,295283,206715,206715,2262483.034,815354,63242,676851,62924,10943,1451591.541,60891,342957,153404,126136,126612,156439,92357,51081,42158,124700,81669,55762,18823,37203,4383
2016-03-31,2541549,1236671.772,366010,610812,-168096,1888648,1410674,481269,1538112,1243144,294284,160071,160071,2401198,854932,64130,707744,71871,11237,1551297,73002,399999,168590,142561,113371,167820,90470,46658,42941,125942,79846,53200,19739,35993,4423
2016-06-30,2390876,1288447.223,370766,595877,-124123,1773205,1369525,405621,1575820,1275256,299951,127708,127708,2291292,824797,61928,671838,80556,11993,1471030,79050,333981,154116,135201,116240,175387,90118,49841,41714,124628,79354,49481,19648,33952,4410
2016-09-30,2357971,1273742.095,398323,592302,-97922,1849234,1421373,430060,1617125,1321413,295774,109870,109870,2282567,798442,60465,656344,70516,11500,1489323,72932,324293,156670,131096,118673,185001,89419,48016,44636,132754,83609,54480,20803,35646,4456
2016-12-31,2558106,1252487.91,391156,619552,49402,1857363,1426528,433072,1682464,1373012,309419,211104,211104,2345935,830082,60076,694662,63212,11951,1520910,64935,365041,160556,133195,131082,170202,98464,50482,42772,126322,80792,57670,20670,39358,4275
2017-03-31,2638918,1270431,362603,623691,-77357,1932500,1446355,489868,1617327,1315482,301582,167596,167596,2491218,868968,59796,725163,73388,11370,1627859,75117,422519,180781,152996,118934,178290,94949,49095,43768,127295,78684,56445,22059,38020,4367
2017-06-30,2494793,1325127,373533,606298,-31163,1842735,1433119,411012,1673965,1373477,300937,146754,146754,2371734,828614,56149,682488,79431,12564,1548431,74133,354604,168757,148581,119274,189227,96157,52638,43127,126960,80147,51937,21534,35830,4321
2017-09-30,2463648,1318774,408298,603031,-71027,1988183,1538519,451478,1719705,1436305,285388,118180,118180,2380046,823730,56032,683551,73001,12522,1561816,71225,345437,167989,143729,122903,197570,95887,51209,45743,132900,83672,56538,22826,37521,4198
2017-12-31,2662582,1292998,385716,630129,110957,1986780,1513462,476087,1801909,1475190,327004,205576,205576,2461833,857197,59916,718705,65454,13320,1610213,60799,391959,173845,155366,136861,179842,106078,54275,44692,126409,82469,58690,24233,40566,4185
2018-03-31,2772274,1317882,371488,644861,-9408,2056967,1533821,526321,1762337,1457171,306355,182444,182444,2608281,896903,57332,753909,74982,11946,1717644,75626,447249,190735,173590,126669,186900,100896,50773,46181,129487,81078,59716,24536,39401,4236
2018-06-30,2610783,1384985,384989,628866,17468,1966846,1552838,415765,1833395,1486474,346233,162765,162765,2468979,851698,54801,705275,80551,13333,1623125,75327,378627,174714,162216,130543,198504,100276,53698,44854,128581,80833,54673,23451,36941,4217
2018-09-30,2543414,1383251,420339,628443,79286,1975796,1537987,439899,1897056,1567984,330315,122680,122680,2455367,836639,54387,697123,73649,13170,1624871,74062,367549,172456,149575,134691,204140,101837,52820,46514,134474,83559,58350,26288,39481,4085
2018-12-31,2766734,1359401,394229,657912,171074,2010302,1529466,483487,1883838,1531053,352320,209121,209121,2565335,891412,58579,750902,68581,14268,1679794,62666,417433,180144,163216,149826,182945,111456,55677,45942,128888,82716,61626,27472,42496,4095
2019-03-31,2845657,1376147,383403,664345,53584,1962293,1467993,496011,1756406,1417854,337190,182748,182748,2683809,901365,57103,753173,80077,12932,1789639,77789,472888,197603,185055,139417,190075,106294,51283,46840,131041,83126,61069,28169,40766,4170
2019-06-30,2668902,1440381,389448,639526,33257,1879473,1481695,400673,1768836,1430874,336828,158159,158159,2534750,862443,57155,705638,87761,14084,1678719,77781,393816,179016,170720,146393,201127,103951,55047,45867,130049,83371,55676,26518,37851,4145
2019-09-30,2605929,1436480,429802,644623,-41810,1981436,1531264,452712,1764046,1453807,311243,125096,125096,2514030,835564,55654,691669,75929,13888,1685513,75867,380741,176488,162780,149557,209796,104640,53777,47972,137419,84187,61105,30108,40253,4110
2019-12-31,2798831,1408471,392930,662287,72359,1950132,1444943,506658,1706211,1392102,313961,204372,204372,2606824,872841,59002,732115,67768,14779,1741066,60737,434603,184303,179380,168376,185465,115229,56845,46921,129740,82694,65315,31660,43738,4110
2020-03-31,2785733,1417763,373675.2,622337,70518,1841590,1495500,353860,1700602,1402686,299957,166599,166599,2643829,884499,56522,734934,81916,13066,1766478,69695,494935,180667,141016,142276,203179,108380,52463,41856,132954,83918,62073,30277,40287,4355
2020-06-30,2343919,1345170,396411.5,590660,-40795,1354324,1245241,123893,1352234,1148983,209354,153624,153624,2206168,742843,47987,605869,77428,14001,1469209,83087,352620,109381,80519,147606,209185,105176,50580,32829,131921,83372,56435,14087,31976,4037
2020-09-30,2442517,1433197,444688.4,628055,-100716,1516661,1418827,115941,1398521,1200292,206136,124786,124786,2347147,790146,50622,658564,69049,13800,1563263,82978,357527,134542,99050,150971,217919,106444,50034,35997,139235,85666,62738,28004,37265,4289
